Date,Close
4/6/2018,691.5
4/9/2018,689.5
4/10/2018,706.5
4/11/2018,755.5
4/12/2018,722
4/13/2018,760.5
4/16/2018,758.5
4/17/2018,774.5
4/18/2018,791.5
4/19/2018,801.5
4/20/2018,762
4/23/2018,716
4/24/2018,738.5
4/25/2018,712.5
4/26/2018,723
4/27/2018,724.5
4/30/2018,692
5/1/2018,703.5
5/2/2018,728
5/3/2018,751.5
5/4/2018,755.5
5/7/2018,743.5
5/8/2018,749
5/9/2018,746
5/10/2018,791
5/11/2018,774.5
5/14/2018,754
5/15/2018,706.5
5/16/2018,706
5/17/2018,705.5
5/18/2018,706.5
5/21/2018,721
5/22/2018,699
5/23/2018,716
5/24/2018,744
5/25/2018,704.5
5/29/2018,691
5/30/2018,715.5
5/31/2018,694
6/1/2018,698
6/4/2018,697.5
6/5/2018,706
6/6/2018,708
6/7/2018,705
6/8/2018,694.5
6/11/2018,707
6/12/2018,699.5
6/13/2018,707.5
6/14/2018,718.5
6/15/2018,690
6/18/2018,690
6/19/2018,675.5
6/20/2018,661
6/21/2018,668.5
6/22/2018,692
6/25/2018,675.5
6/26/2018,668.5
6/27/2018,651
6/28/2018,653.5
6/29/2018,682.5
7/2/2018,662
7/3/2018,697.5
7/5/2018,718.5
7/6/2018,730
7/9/2018,732
7/10/2018,725.5
7/11/2018,674
7/12/2018,681.5
7/13/2018,668
7/16/2018,655.5
7/17/2018,645
7/18/2018,653
7/19/2018,628.5
7/20/2018,639.5
7/23/2018,618.5
7/24/2018,635
7/25/2018,655
7/26/2018,628
7/27/2018,626
7/30/2018,615
7/31/2018,617.5
8/1/2018,606
8/2/2018,587.5
8/3/2018,599.5
8/6/2018,579.5
8/7/2018,559.5
8/8/2018,563
8/9/2018,561
8/10/2018,550.5
8/13/2018,495
8/14/2018,483
8/15/2018,397.5
8/16/2018,362
8/17/2018,391
8/20/2018,405
8/21/2018,412
8/22/2018,415.5
8/23/2018,376
8/24/2018,418
8/27/2018,442.5
8/28/2018,415.5
8/29/2018,413.5
8/30/2018,395.5
8/31/2018,390.5
9/4/2018,370
9/5/2018,358.5
9/6/2018,355
9/7/2018,356.5
9/10/2018,343.5
9/11/2018,340.5
9/12/2018,376
9/13/2018,367.5
9/14/2018,353
9/17/2018,379
9/18/2018,375
9/19/2018,406.5
9/20/2018,423
9/21/2018,405.5
9/24/2018,395.5
9/25/2018,398
9/26/2018,381
9/27/2018,354.5
9/28/2018,370
10/1/2018,372
10/2/2018,399
10/3/2018,384.5
10/4/2018,388
10/5/2018,381.5
10/8/2018,390
10/9/2018,369
10/10/2018,376.5
10/11/2018,447.5
10/12/2018,445
10/15/2018,469
10/16/2018,467.5
10/17/2018,452.5
10/18/2018,448
10/19/2018,457.5
10/22/2018,445
10/23/2018,460.5
10/24/2018,447
10/25/2018,404
10/26/2018,396
10/29/2018,381
10/30/2018,384.5
10/31/2018,358.5
11/1/2018,388
11/2/2018,386.5
11/5/2018,394
11/6/2018,380
11/7/2018,371.5
11/8/2018,366.5
11/9/2018,348.5
11/12/2018,326
11/13/2018,311.5
11/14/2018,327
11/15/2018,346
11/16/2018,360
11/19/2018,364
11/20/2018,354.5
11/21/2018,380.5
11/23/2018,350.5
11/26/2018,339
11/27/2018,320
11/28/2018,344
11/29/2018,330
11/30/2018,322.5
12/3/2018,338
12/4/2018,340
12/6/2018,343.5
12/7/2018,373.5
12/10/2018,364
12/11/2018,371
12/12/2018,387.5
12/13/2018,385.5
12/14/2018,363
12/17/2018,400
12/18/2018,429.5
12/19/2018,372
12/20/2018,413.5
12/21/2018,409
12/24/2018,445
12/26/2018,421
12/27/2018,438
12/28/2018,427.5
12/31/2018,460.5
1/2/2019,464.5
1/3/2019,515
1/4/2019,506
1/7/2019,487
1/8/2019,497
1/9/2019,512
1/10/2019,481
1/11/2019,479
1/14/2019,475
1/15/2019,450.5
1/16/2019,452.5
1/17/2019,457.5
1/18/2019,415.5
1/22/2019,422.5
1/23/2019,428.5
1/24/2019,424
1/25/2019,466.5
1/28/2019,498.5
1/29/2019,529
1/30/2019,546.5
1/31/2019,581
2/1/2019,575
2/4/2019,555
2/5/2019,569.5
2/6/2019,534.5
2/7/2019,510
2/8/2019,544
2/11/2019,521
